title,artist,difficulty,youtube_url,workshop_url,download_url,tile_count,creator,tags
GHOUL (More Nerfed),かめりあ(Camellia),20.3,https://www.youtube.com/watch?v=89V_nBwzvIg&t, ,https://drive.google.com/file/d/1uJnzI4UtXI1fsDx65CwN2Hdq3urusdQ5/view,3177,Lupel_2 (Original by 바퀴),"PSEUDO_P2, GALLOP, QUINTUPLET, FUNKY_BEAT, LONG"
Disintergate of Eden,seatrus,20.3,https://youtu.be/gemRhVuN_E8,https://steamcommunity.com/sharedfiles/filedetails/?id=2693197319,https://cdn.discordapp.com/attachments/875358360713703474/924226918000259142/seatrus_-_Disintegrate_of_Eden.zip,1559,"토끼로봇, Nickname","PSEUDO, GALLOP, TRIPLET, BEAT_P64"
Lasting Wonderworld,天堂EGHD,20.3,https://youtu.be/OhWZPxvhzP8, ,https://drive.google.com/file/d/1u-Y7ygWWa8xuf6LDa9dLN5QE9qWB7Mu6/view?usp=sharing,1376,Cherry,"PSEUDO_P2, GALLOP, TRIPLET, POLYRHYTHM, FUNKY_BEAT"
FM Synthesis Experiment,かめりあ(Camellia),20.3,https://www.youtube.com/watch?v=biHsbAo1IXY, ,https://drive.google.com/file/d/1DeYkuTcIbT_ovKzR4PBdD_IaNRlGO7gT/view?usp=sharing,2983,Clockwork,"PSEUDO, TRIPLET, FUNKY_BEAT, BEAT_P64, LONG"
Transmission Event α,Sparxe,20.3,https://youtu.be/1NScQBP01NE?si=kH59eh4I-r_HgCo9,,,1611,무썸네일러,
Gray and Turquoise,Cinamoro,20.3,https://youtu.be/ydMU2Jy_pTM, ,https://drive.google.com/file/d/1bVyXXb4yepqFLfGXzJFOSt5TRb3gJfX3/view?usp=sharing,1456,Rimz,"PSEUDO, GALLOP, EPILEPSY_WARNING, TRIPLET, FUNKY_BEAT, BEAT_P64"
Dream Escapism Fantasia,kanemiko,20.3,https://www.youtube.com/watch?v=2iCl-BSpkcM&list=PLrtYCjiZOoXnZmVQIv77lfdmsPS9u3f6d&index=5,,,2202,"FluffyYoshi, 쇼핑잉",EPILEPSY_WARNING
Kokytos-118,hugepulse,20.3,https://www.youtube.com/watch?v=KKRsM-_WK2M,,,1643,shperon,
Crimson,Cinamoro,20.3,https://youtu.be/DEVU-H3B2EI, ,https://cdn.discordapp.com/attachments/879715205175726120/936695345713410048/Crimson.zip,2365,pinball,"PSEUDO_P2, GALLOP, TRIPLET, BEAT_P64, SPEED_CHANGES"
Gears of Fate,Laur,20.3,https://youtu.be/J6dvf8gUrlY?si=Hie56_R_NICuSZOF,,,2190,Nephrolepis,DLC
Bloody Kiss,かめりあ(Camellia),20.3,https://youtu.be/IE4KNxZNiN0, ,https://cdn.discordapp.com/attachments/950036330438623282/984774840412176424/Camellia_-_Bloody_Kiss.zip,1765,"pinball, 야채","PSEUDO_P2, GALLOP, FUNKY_BEAT, BEAT_P64, SPEED_CHANGES"
Jam with Pancake,Frums,20.3,https://youtu.be/dAfRtz6FFsQ, ,https://cdn.discordapp.com/attachments/674252951124181012/948536484477145098/Jam_with_Pancake.zip,1249,Nephrolepis,"PSEUDO, TRIPLET, QUINTUPLET"
"1,2,3,4!",Cansol,20.3,https://youtu.be/J8mETkPFYDA, ,https://cdn.discordapp.com/attachments/674252951124181012/924153382275522620/1234.zip,1428,Nephrolepis,"PSEUDO, GALLOP, TRIPLET, FUNKY_BEAT, BEAT_P64"
MINDGAMESMINDGAMES,816ThreeNumbers,20.3,https://www.youtube.com/watch?v=xH_gDgy9Kuc,https://steamcommunity.com/sharedfiles/filedetails/?id=2833474756,https://cdn.discordapp.com/attachments/812363541587427358/995790876670439485/MINDGAMESMINDGAMES.zip,1412,Orandi,"PSEUDO, GALLOP, TRESILLO, BEAT_P64"
Jam with Pancake,Frums,20.3,https://youtu.be/FE_-0YrlQis?t=581, ,https://cdn.discordapp.com/attachments/475190952731082765/1015587218582159440/Vignette_1.zip,0,"Nickname, Hongshi, 韓狼",
Night Error Remix,"SnowFlake, LEC",20.3,https://www.youtube.com/watch?v=MzAUb0SkChA&lc=z23mgxkztmrztrjw304t1aokghywjhae05uzxevztbirrk0h00410, ,https://cdn.discordapp.com/attachments/737660590281064448/809714818960719872/Snowflake_vs_LEC_-_Night_Error_Remix_2.zip,1434,"RainTop, 초보잼, Nephrolepis","PSEUDO_P2, GALLOP, FUNKY_BEAT, SPEED_CHANGES"
Turkey Turkey (Nerfed),Kommisar,20.3,https://youtu.be/gIxKznAVaY4, ,https://cdn.discordapp.com/attachments/759288385394835457/874166073774206986/nerfedKommisar_Turkey_Turkey.zip,2830,ruren,"PSEUDO, TRIPLET, SWING, SLOW, LONG"
えいえんの ゆめを ください,hugepulse,20.3,https://youtu.be/6KQDpnw6DOc, ,https://cdn.discordapp.com/attachments/817394722691612723/949965847101861899/eiennoyumewokudasai.zip,1795,한가지,"PSEUDO, GALLOP, TRIPLET, FUNKY_BEAT"
Blackmagik Blazing,かめりあ(Camellia),20.3,https://youtu.be/q8nSnI33pqU, ,https://cdn.discordapp.com/attachments/790935227328888833/1001132924642545725/Camellia_-_Blackmagik_Blazing_Map_by_NEO0522.zip,2927,NeoSign,"PSEUDO_P2, GALLOP, TRIPLET, BEAT_P64, LONG"
Verlesq,LeaF,20.3,https://www.youtube.com/watch?v=o_hxQKYXIDY,,,1749,Nephrolepis,
waitingforyou,linear ring,20.3,https://youtu.be/iuQWtFYa6V4, ,https://cdn.discordapp.com/attachments/760276593947705377/871635957986770994/waitingforyou.zip,1347,pinball,"PSEUDO_P2, TRIPLET, POLYRHYTHM"
Qyoh (Nine Stars) (Short),かめりあ(Camellia),20.3,https://www.youtube.com/watch?v=xng50nrbJSw, ,https://drive.google.com/file/d/1j7WV5zXy6YGVrFlbZoNukmOLTB0mzPqS/view?usp=sharing,1493,한가지,"PSEUDO, TRIPLET, QUINTUPLET, FUNKY_BEAT"
New Era,かめりあ(Camellia),20.3,https://youtu.be/MUXXLRcJoZw, ,https://cdn.discordapp.com/attachments/674252951124181012/845885822426415104/10_New_Era.zip,2518,Nephrolepis,"PSEUDO, GALLOP, FUNKY_BEAT, BEAT_P64, LONG"
KINETIC LA2ER,Sot-C,20.3,https://youtu.be/4QmLWLzegyA, ,https://cdn.discordapp.com/attachments/879715205175726120/929020579770667058/KINETIC_LA2ER.zip,1658,pinball,"PSEUDO_P2, GALLOP, TRIPLET, FUNKY_BEAT"
